a52dec 0.8.0-2
abseil-cpp 20240722.0-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
aircrack-ng 1.7-4
alacritty 0.13.2-3
alsa-card-profiles 1:1.2.5-1
alsa-lib 1.2.12-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
aom 3.10.0-1
appstream 1.0.3-1
appstream-qt 1.0.3-1
archlinux-appstream-data 20240914-1
archlinux-keyring 20240709-2
argon2 20190702-6
aribb24 1.0.3-4
at-spi2-core 2.54.0-2
atkmm 2.28.4-1
attica 6.6.0-1
attr 2.5.2-1
audit 4.0.2-2
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
ayatana-ido 0.10.4-1
aylurs-gtk-shell 1.8.2-3
baloo 6.6.0-1
baloo-widgets 24.08.2-1
base 3-2
base-devel 1-2
bash 5.2.037-1
bc 1.07.1-5
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-8
bluedevil 1:6.2.0-1
blueman 2.4.3-1
bluez 5.78-1
bluez-libs 5.78-1
bluez-qt 6.6.0-1
bluez-utils 5.78-1
bolt 0.9.8-1
boost-libs 1.86.0-3
breeze 6.2.0-1
breeze-gtk 6.2.0-1
breeze-icons 6.6.0-1
breeze-plymouth 6.2.0-1
bridge-utils 1.7.1-2
brightnessctl 0.5.1-3
brotli 1.1.0-2
btop 1.4.0-3
bubblewrap 0.10.0-1
bzip2 1.0.8-6
c-ares 1.33.1-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.105-1
ca-certificates-utils 20240618-1
cairo 1.18.2-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
cava 0.10.2-2
chromium 129.0.6668.100-1
cifs-utils 7.1-1
clang 18.1.8-3
clinfo 3.0.23.01.25-1
cliphist 1:0.5.0-1
code 1.94.2-1
codeblocks 20.03-5
colord 1.4.7-2
compiler-rt 18.1.8-1
composefs 1.0.4-1
containerd 1.7.22-1
convertlit 1.8-12
coreutils 9.5-2
cryptsetup 2.7.5-1
cups 2:2.4.11-1
cups-filters 2.0.1-1
curl 8.10.1-1
dav1d 1.4.3-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-4
dbus-broker-units 36-4
dbus-units 36-4
dconf 0.40.0-3
ddcutil 2.1.4-2
debugedit 5.0-6
default-cursors 3-1
desktop-file-utils 0.27-1
device-mapper 2.03.27-1
diffutils 3.10-1
discount 3.0.0.d-1
discover 6.2.0-1
dkms 3.0.12-1
dmidecode 3.6-1
docker 1:27.3.1-1
dolphin 24.08.2-1
double-conversion 3.3.0-2
drkonqi 6.2.0-1
duktape 2.7.0-7
dvisvgm 3.4.1-1
e2fsprogs 1.47.1-4
ebook-tools 0.2.2-8
editorconfig-core-c 0.12.9-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2-1
egl-wayland 4:1.1.16-1
eglexternalplatform 1.2-2
electron30 30.5.1-3
elementary-icon-theme 8.0.0-1
ell 0.69-1
enchant 2.8.2-1
eog 47.0-1
ethtool 1:6.9-1
exempi 2.6.5-1
exiv2 0.28.3-1
exo 4.18.0-3
expat 2.6.3-2
eza 0.20.2-1
faad2 2.11.1-1
fakeroot 1.36-1
fastfetch 2.27.1-1
feh 3.10.3-1
ffcall 2.4-3
ffmpeg 2:7.0.2-3
ffmpeg4.4 4.4.4-6
ffmpegthumbnailer 2.2.3-2
fftw 3.3.10-7
file 5.45-1
file-roller 44.3-1
filesystem 2024.04.07-1
findutils 4.10.0-2
flac 1.4.3-2
flatpak 1:1.15.10-1
flatpak-kcm 6.2.0-1
flex 2.6.4-5
fmt 11.0.2-1
fontconfig 2:2.15.0-2
foomatic-db-engine 5:20200131-1
frameworkintegration 6.6.0-1
freerdp2 2.11.7-1
freetype2 2.13.3-1
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fzf 0.55.0-1
garcon 4.18.2-2
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r134+gab884fffe3fc-1
